"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.915386723E1,5.121919035E1,2.087043514E1,2.364744214E2,2.710000000E2,5.046999741E1,1.600000000E1,3.273899076E0,7.000000000E0,1.000000000E1,2.100000000E1
7.015386560E1,5.121963547E1,2.087064193E1,2.354769318E2,2.700000000E2,5.057999802E1,1.629999924E1,3.325761179E0,7.000000000E0,1.000000000E1,2.000000000E1
7.115386394E1,5.122008378E1,2.087084737E1,2.334794553E2,2.680000000E2,5.066999817E1,1.670000076E1,3.376573048E0,7.000000000E0,9.000000000E0,2.000000000E1
7.215386224E1,5.122052290E1,2.087104920E1,2.314819281E2,2.660000000E2,5.075999832E1,1.670000076E1,3.426603127E0,7.500000000E0,1.000000000E1,2.000000000E1
7.315386057E1,5.122095365E1,2.087125674E1,2.304843704E2,2.650000000E2,5.073999786E1,1.679999924E1,3.477616419E0,7.500000000E0,1.000000000E1,2.100000000E1
7.415385896E1,5.122139341E1,2.087146545E1,2.304868581E2,2.650000000E2,5.072999954E1,1.639999962E1,3.528454672E0,7.500000000E0,1.000000000E1,2.100000000E1
7.515385721E1,5.122183375E1,2.087166184E1,2.304893274E2,2.650000000E2,5.070000076E1,1.569999981E1,3.580503855E0,8.000000000E0,1.000000000E1,2.100000000E1
7.615385556E1,5.122228440E1,2.087186392E1,2.294918563E2,2.640000000E2,5.071999741E1,1.560000038E1,3.632118955E0,8.000000000E0,1.000000000E1,2.100000000E1
7.715385392E1,5.122273267E1,2.087205637E1,2.284943570E2,2.630000000E2,5.075000000E1,1.530000019E1,3.683322567E0,8.000000000E0,1.100000000E1,2.100000000E1
7.815385226E1,5.122317779E1,2.087224471E1,2.264968353E2,2.610000000E2,5.077999878E1,1.500000000E1,3.735299562E0,8.000000000E0,1.100000000E1,2.100000000E1
7.915385056E1,5.122363133E1,2.087242534E1,2.254993409E2,2.600000000E2,5.081999969E1,1.389999962E1,3.786647584E0,8.000000000E0,1.000000000E1,2.100000000E1
8.015384895E1,5.122408299E1,2.087257890E1,2.245017904E2,2.590000000E2,5.084999847E1,1.250000000E1,3.838239038E0,8.000000000E0,1.100000000E1,2.100000000E1
8.115384731E1,5.122453897E1,2.087271586E1,2.265042319E2,2.610000000E2,5.089999771E1,9.600000381E0,3.887549219E0,7.500000000E0,1.000000000E1,2.100000000E1
8.215384558E1,5.122497835E1,2.087281167E1,2.255065218E2,2.600000000E2,5.084000015E1,8.500000000E0,3.937270234E0,8.500000000E0,1.100000000E1,2.000000000E1
8.315384392E1,5.122542204E1,2.087290026E1,2.265088201E2,2.610000000E2,5.077999878E1,6.300000191E0,3.986106344E0,8.500000000E0,1.000000000E1,2.000000000E1
8.415384227E1,5.122585903E1,2.087297042E1,2.275110539E2,2.620000000E2,5.071999741E1,5.400000095E0,4.035698730E0,8.500000000E0,1.000000000E1,2.000000000E1
8.515384054E1,5.122630378E1,2.087302373E1,2.265132959E2,2.610000000E2,5.065999985E1,4.599999905E0,4.084365274E0,8.500000000E0,1.000000000E1,2.200000000E1
8.615383889E1,5.122674077E1,2.087306262E1,2.255154755E2,2.600000000E2,5.059000015E1,3.200000048E0,4.133577507E0,9.000000000E0,1.000000000E1,2.000000000E1
